"user_id","payment_month","payment_date","revenue_amount_usd","monthly_mrr","previous_mrr","expansion_mrr","contraction_mrr","is_new_user","is_churned"
DorDcyqBWMg5IEaflqn5Xw==,2022-05-01 00:00:00.000 +0200,2022-05-28,23.22,37.62,50.16,0,12.54,0,0
dpfu6t8G4blqMn55KM8bSg==,2022-05-01 00:00:00.000 +0200,2022-05-08,17.34,33.15,33.03,0.12,0,0,0
DqezK7HAqZ+GovyRuzxD1A==,2022-05-01 00:00:00.000 +0200,2022-05-19,19.38,72.15,83.19,0,11.04,0,0
eCd4MBHIR4qUWapg05TFLQ==,2022-05-01 00:00:00.000 +0200,2022-05-10,14.55,14.55,23.04,0,8.49,0,0
er3/fOrRpmyqiRaC0CaFcg==,2022-05-01 00:00:00.000 +0200,2022-05-08,47.22,47.22,0,0,0,1,0
FLqAK4qKiMkvlLBgGwbBnQ==,2022-05-01 00:00:00.000 +0200,2022-05-11,12.06,24.36,0,0,0,1,1
Fqu+/F0rn1G4YP3f3yHA1Q==,2022-05-01 00:00:00.000 +0200,2022-05-12,20.73,20.73,26.28,0,5.55,0,1
Fx9+2aYPOHAS3fdXpLQ9Pg==,2022-05-01 00:00:00.000 +0200,2022-05-05,15.09,31.56,12.54,19.02,0,0,1
fXlo39/YD2z9SEVShTXp6w==,2022-05-01 00:00:00.000 +0200,2022-05-08,17.34,17.34,0,0,0,1,1
GEAVJz1gd3SThbDZR01fcA==,2022-05-01 00:00:00.000 +0200,2022-05-24,27.33,48.30,87.36,0,39.06,0,0
Ghk2iJmzSUW4qLsmJgwOcw==,2022-05-01 00:00:00.000 +0200,2022-05-15,32.76,67.29,128.40,0,61.11,0,0
GOl6BQXsy0zvbvIWIoKEQw==,2022-05-01 00:00:00.000 +0200,2022-05-08,23.85,64.65,0,0,0,1,1
gPRMy8HkmaiyX+13OxuP/A==,2022-05-01 00:00:00.000 +0200,2022-05-07,22.17,22.17,55.86,0,33.69,0,0
Grpkzd4XIHh+ZbTMNxnUGg==,2022-05-01 00:00:00.000 +0200,2022-05-04,27.99,41.88,35.55,6.33,0,0,0
H2Tik+BqoLgAQX4uSw/8vA==,2022-05-01 00:00:00.000 +0200,2022-05-28,12.09,12.09,14.34,0,2.25,0,0
Hamw6F2EZmJfI2glmE2NEg==,2022-05-01 00:00:00.000 +0200,2022-05-05,15.6,15.6,42.24,0,26.64,0,0
HJccOn6v5KHqBa8wRu42oQ==,2022-05-01 00:00:00.000 +0200,2022-05-14,18.84,18.84,27.6,0,8.76,0,1
HRBsRwGu5mkTvZBTNpA0tQ==,2022-05-01 00:00:00.000 +0200,2022-05-23,20.85,20.85,59.64,0,38.79,0,1
hRkRI5YBVIH6bbqIDTbung==,2022-05-01 00:00:00.000 +0200,2022-05-14,16.44,16.44,67.26,0,50.82,0,1
HxWcXHURvvtOJkrXAcDxQg==,2022-05-01 00:00:00.000 +0200,2022-05-06,26.91,122.94,82.53,40.41,0,0,0
IdKyooyTjAbvCA7p+ujKCw==,2022-05-01 00:00:00.000 +0200,2022-05-06,26.55,153.54,0,0,0,1,0
ilnMSoPJHAYMegDX02XG+w==,2022-05-01 00:00:00.000 +0200,2022-05-20,20.04,64.86,54.03,10.83,0,0,1
J6WNl39fdxaY8ZtvV8wNkw==,2022-05-01 00:00:00.000 +0200,2022-05-06,24.99,24.99,18.42,6.57,0,0,0
jKSOgyMP0Yzld1pVpvyYrg==,2022-05-01 00:00:00.000 +0200,2022-05-15,15.06,15.06,0,0,0,1,1
Jp0hnV9XOJGVV5jpFhlqgQ==,2022-05-01 00:00:00.000 +0200,2022-05-23,18.06,18.06,56.16,0,38.10,0,0
jVhb69DTRT5TSWYEiUrlbg==,2022-05-01 00:00:00.000 +0200,2022-05-21,30.93,54.27,58.44,0,4.17,0,0
K/6KHxREKTlFZXRfBNVNuQ==,2022-05-01 00:00:00.000 +0200,2022-05-20,13.26,13.26,41.46,0,28.20,0,0
lCD23Awt3KotauWenCRr5w==,2022-05-01 00:00:00.000 +0200,2022-05-17,31.02,90.75,47.94,42.81,0,0,1
lGI5+OCzV6nnDMpyZWtZAg==,2022-05-01 00:00:00.000 +0200,2022-05-30,17.25,17.25,0,0,0,1,1
lP6BWSFF4OZeWp0jrAHY9g==,2022-05-01 00:00:00.000 +0200,2022-05-14,13.2,13.2,0,0,0,1,1
LWAxWBdiFs/25YxI4ZGthA==,2022-05-01 00:00:00.000 +0200,2022-05-03,14.88,86.46,0,0,0,1,0
MRcEXu/KG95hsIyJM/816A==,2022-05-01 00:00:00.000 +0200,2022-05-08,15.15,37.98,0,0,0,1,0
nklUUkirU5GYU5ZtNOgx8w==,2022-05-01 00:00:00.000 +0200,2022-05-21,20.22,40.62,19.11,21.51,0,0,1
nPrRQwP3UZo2KBlM2mJ8fg==,2022-05-01 00:00:00.000 +0200,2022-05-07,28.92,70.08,31.68,38.40,0,0,0
o55dseByUOl9s5IQCz1kuQ==,2022-05-01 00:00:00.000 +0200,2022-05-12,16.44,16.44,86.88,0,70.44,0,0
ojVPXYZw2oeGtcmG7LcLGA==,2022-05-01 00:00:00.000 +0200,2022-05-16,20.49,75.90,21.33,54.57,0,0,0
orbgZNBGuhZZx63HTAbyIw==,2022-05-01 00:00:00.000 +0200,2022-05-03,24.51,155.97,62.13,93.84,0,0,0
pLOCMIX+imLIzoDehgdOPA==,2022-05-01 00:00:00.000 +0200,2022-05-25,18.78,68.16,0,0,0,1,0
prNQwR2IPPsvGpFgOpcGaQ==,2022-05-01 00:00:00.000 +0200,2022-05-10,23.22,95.52,15.66,79.86,0,0,1
pz7LUOs9i7xgncmHVxQvOw==,2022-05-01 00:00:00.000 +0200,2022-05-23,39.6,39.6,19.5,20.1,0,0,0
qEF/fPDQLJPXIx6RiSIP1A==,2022-05-01 00:00:00.000 +0200,2022-05-20,21.84,21.84,0,0,0,1,0
qqYyR2vRI+7pgiuyTnVM+A==,2022-05-01 00:00:00.000 +0200,2022-05-17,19.23,40.17,0,0,0,1,0
q/Tz1C31XWaBUDrRn2ezDw==,2022-05-01 00:00:00.000 +0200,2022-05-05,17.64,17.64,0,0,0,1,0
