"user_id","payment_date","payment_month","mrr","new_mrr","new_users","churned_users","churned_revenue"
"787jk0VnxM8/sv/0TkvO6A==",2022-04-05,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
DorDcyqBWMg5IEaflqn5Xw==,2022-04-05,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
"06RPvlsFPCmM9ag+iSM/Ag==",2022-04-06,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
iFFApiXZ2wPdS666BLpKZw==,2022-04-06,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
TWDA+aUZ8OPMHOtz5cPPXA==,2022-04-06,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
xnLJlU804PSS9tXKmm7gZQ==,2022-04-06,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
Wua5DlzLb2yNeSrcG9Xi3g==,2022-04-06,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
s27V1tbCAysovKSY1XcdWQ==,2022-04-06,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
Lug+Yg90jslWgHEN6dc+Ng==,2022-04-06,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
"3iITAz/ADjFv3PDTgTjxSg==",2022-04-07,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
GEAVJz1gd3SThbDZR01fcA==,2022-04-07,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
Lug+Yg90jslWgHEN6dc+Ng==,2022-04-07,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
ShEJVi+TtuQlvdw2uetd/Q==,2022-04-07,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
hRkRI5YBVIH6bbqIDTbung==,2022-04-07,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
